"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"d:\CRM Purple\React\purple-crm-react\src\components\forms\SignUpForm.tsx", "TypeScript JSX", 0, 232, 0, 0, 16, 248
"d:\CRM Purple\React\purple-crm-react\src\components\lists\CompanyUsersList.tsx", "TypeScript JSX", 0, 326, 0, 6, 30, 362
"d:\CRM Purple\React\purple-crm-react\src\components\lists\LeadManagementList.tsx", "TypeScript JSX", 0, 69, 0, 1, 14, 84
"d:\CRM Purple\React\purple-crm-react\src\components\lists\ProductsManagementsList.tsx", "TypeScript JSX", 0, 348, 0, 5, 40, 393
"d:\CRM Purple\React\purple-crm-react\src\components\lists\TeamManagementList.tsx", "TypeScript JSX", 0, 287, 0, 7, 33, 327
"d:\CRM Purple\React\purple-crm-react\src\components\modals\company-product-team\CompanyProductTeamsModal.tsx", "TypeScript JSX", 0, 526, 0, 18, 52, 596
"d:\CRM Purple\React\purple-crm-react\src\components\modals\company-product-user\CompanyProductUsersModal.tsx", "TypeScript JSX", 0, 46, 0, 1, 8, 55
"d:\CRM Purple\React\purple-crm-react\src\components\modals\company-user\AddCompanyUserModal.tsx", "TypeScript JSX", 0, 229, 0, 3, 19, 251
"d:\CRM Purple\React\purple-crm-react\src\components\modals\company-user\CompanyUserAccessManagementModal.tsx", "TypeScript JSX", 0, 391, 0, 7, 39, 437
"d:\CRM Purple\React\purple-crm-react\src\components\modals\company-user\EditCompanyUserModal.tsx", "TypeScript JSX", 0, 258, 0, 2, 20, 280
"d:\CRM Purple\React\purple-crm-react\src\components\modals\leads\CreateLeadModal.tsx", "TypeScript JSX", 0, 181, 0, 11, 35, 227
"d:\CRM Purple\React\purple-crm-react\src\components\modals\products\AddProductModal.tsx", "TypeScript JSX", 0, 335, 0, 1, 26, 362
"d:\CRM Purple\React\purple-crm-react\src\components\modals\products\CreateCompanyProductCompanyUserModal.tsx", "TypeScript JSX", 0, 189, 0, 6, 16, 211
"d:\CRM Purple\React\purple-crm-react\src\components\modals\products\CreateCompanyProductTaxModal.tsx", "TypeScript JSX", 0, 260, 0, 2, 24, 286
"d:\CRM Purple\React\purple-crm-react\src\components\modals\products\EditProductModal.tsx", "TypeScript JSX", 0, 416, 0, 5, 44, 465
"d:\CRM Purple\React\purple-crm-react\src\components\modals\teams\AddTeamModal.tsx", "TypeScript JSX", 0, 363, 0, 8, 43, 414
"d:\CRM Purple\React\purple-crm-react\src\components\modals\teams\EditCompanyTeamModal.tsx", "TypeScript JSX", 0, 240, 0, 2, 24, 266
"d:\CRM Purple\React\purple-crm-react\src\components\tabs\LeadSettingsTabs.tsx", "TypeScript JSX", 0, 168, 0, 5, 14, 187
"d:\CRM Purple\React\purple-crm-react\src\components\ui\ActionsDropdownButton.tsx", "TypeScript JSX", 0, 13, 0, 0, 2, 15
"d:\CRM Purple\React\purple-crm-react\src\components\ui\Button.tsx", "TypeScript JSX", 0, 46, 0, 6, 6, 58
"d:\CRM Purple\React\purple-crm-react\src\components\ui\DatePickerInput.tsx", "TypeScript JSX", 0, 32, 0, 0, 5, 37
"d:\CRM Purple\React\purple-crm-react\src\components\ui\DateRangeFilterDropdown.tsx", "TypeScript JSX", 0, 84, 0, 0, 8, 92
"d:\CRM Purple\React\purple-crm-react\src\components\ui\DateRangePicker.tsx", "TypeScript JSX", 0, 54, 0, 3, 13, 70
"d:\CRM Purple\React\purple-crm-react\src\components\ui\FormCheckbox.tsx", "TypeScript JSX", 0, 18, 0, 12, 3, 33
"d:\CRM Purple\React\purple-crm-react\src\components\ui\FormInput.tsx", "TypeScript JSX", 0, 54, 0, 20, 5, 79
"d:\CRM Purple\React\purple-crm-react\src\components\ui\Link.tsx", "TypeScript JSX", 0, 13, 0, 0, 3, 16
"d:\CRM Purple\React\purple-crm-react\src\components\ui\MessageSnackbar.tsx", "TypeScript JSX", 0, 40, 0, 1, 6, 47
"d:\CRM Purple\React\purple-crm-react\src\components\ui\OtpInput.tsx", "TypeScript JSX", 0, 86, 0, 5, 9, 100
"d:\CRM Purple\React\purple-crm-react\src\components\ui\PasswordVisibilityToggle.tsx", "TypeScript JSX", 0, 18, 0, 0, 4, 22
"d:\CRM Purple\React\purple-crm-react\src\components\ui\ProductDropdown.tsx", "TypeScript JSX", 0, 89, 0, 0, 13, 102
"d:\CRM Purple\React\purple-crm-react\src\components\ui\RadioButton.tsx", "TypeScript JSX", 0, 34, 0, 0, 5, 39
"d:\CRM Purple\React\purple-crm-react\src\components\ui\SearchInput.tsx", "TypeScript JSX", 0, 14, 0, 0, 5, 19
"d:\CRM Purple\React\purple-crm-react\src\components\ui\TextAreaInput.tsx", "TypeScript JSX", 0, 33, 0, 0, 3, 36
"d:\CRM Purple\React\purple-crm-react\src\components\views\auth\AuthLayout.tsx", "TypeScript JSX", 0, 47, 0, 25, 9, 81
"d:\CRM Purple\React\purple-crm-react\src\components\views\auth\EmailVerificationLayout.tsx", "TypeScript JSX", 0, 114, 0, 3, 18, 135
"d:\CRM Purple\React\purple-crm-react\src\components\views\home\landing-page\CallToAction.tsx", "TypeScript JSX", 0, 24, 0, 0, 2, 26
"d:\CRM Purple\React\purple-crm-react\src\components\views\home\landing-page\ContactUs.tsx", "TypeScript JSX", 0, 26, 0, 0, 3, 29
