"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"d:\CRM Purple\React\purple-crm-react\src\@types\List\GetCompanyUsersListProps.ts", "TypeScript", 13, 0, 0, 2, 15
"d:\CRM Purple\React\purple-crm-react\src\@types\List\ProductsManagementListProps.ts", "TypeScript", 15, 0, 0, 3, 18
"d:\CRM Purple\React\purple-crm-react\src\@types\List\TeamManagementListProps.ts", "TypeScript", 13, 0, 0, 2, 15
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\AddCompanyTeamUsersAgGridProps.ts", "TypeScript", 9, 0, 0, 4, 13
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\CompanyProductTeamsAgGridProps.ts", "TypeScript", 9, 0, 0, 2, 11
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\CompanyTeamUsersAgGridProps.ts", "TypeScript", 9, 0, 0, 2, 11
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\CompanyUserAgGridProps.ts", "TypeScript", 9, 0, 0, 3, 12
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\LeadManagementAgGridProps.ts", "TypeScript", 9, 0, 0, 2, 11
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\ProductTaxManagementAgGridProps.ts", "TypeScript", 6, 0, 0, 2, 8
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\ProductsManagementGridProps.ts", "TypeScript", 10, 0, 0, 2, 12
"d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\TeamManagementAgGridProps.ts", "TypeScript", 15, 0, 0, 2, 17
"d:\CRM Purple\React\purple-crm-react\src\@types\company-users\CompanyUserProps.ts", "TypeScript", 0, 0, 9, 2, 11
"d:\CRM Purple\React\purple-crm-react\src\@types\lead-management\LeadManagementProps.ts", "TypeScript", -7, 0, 0, 0, -7
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\AddTeamModalProps.ts", "TypeScript", 6, 0, 0, 1, 7
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\CompanyProductTeamsModalProps.ts", "TypeScript", 7, 0, 0, 3, 10
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\CompanyProductUsersModalProps.ts", "TypeScript", 7, 0, 0, 2, 9
"d:\CRM Purple\React\purple-crm-react\src\@types\modal\EditCompanyTeamModalProps.ts", "TypeScript", 8, 0, 0, 4, 12
"d:\CRM Purple\React\purple-crm-react\src\@types\product-teams-management\CompanyProductTeam.ts", "TypeScript", 13, 0, 9, 11, 33
"d:\CRM Purple\React\purple-crm-react\src\@types\product-users-management\CompanyProductUser.ts", "TypeScript", 13, 0, 27, 5, 45
"d:\CRM Purple\React\purple-crm-react\src\@types\product-users-management\CompanyProductUserNotAssigned.ts", "TypeScript", 12, 0, 27, 4, 43
"d:\CRM Purple\React\purple-crm-react\src\@types\team-management\CompanyTeamListProps.ts", "TypeScript", 0, 0, 8, -1, 7
"d:\CRM Purple\React\purple-crm-react\src\@types\team-management\CompanyTeamUsers.ts", "TypeScript", 12, 0, 0, 1, 13
"d:\CRM Purple\React\purple-crm-react\src\@types\team-management\CompanyTeamUsers.tsx", "TypeScript JSX", 0, -11, 0, -1, -12
"d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\AddCompanyTeamUsersAgGrid.tsx", "TypeScript JSX", 0, -2, 0, 1, -1
"d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\CompanyProductTeamsAgGrid.tsx", "TypeScript JSX", 0, 109, 2, 10, 121
"d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\CompanyTeamUsersAgGrid.tsx", "TypeScript JSX", 0, 489, 10, 11, 510
"d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\CompanyUsersAgGrid.tsx", "TypeScript JSX", 0, -6, 0, 0, -6
"d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\ProductTaxManagementAgGrrid.tsx", "TypeScript JSX", 0, -3, 0, 0, -3
"d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\ProductsManagementAgGrid.tsx", "TypeScript JSX", 0, 47, 0, -1, 46
"d:\CRM Purple\React\purple-crm-react\src\components\ag-grid\TeamManagementAgGrid.tsx", "TypeScript JSX", 0, 32, 0, -8, 24
"d:\CRM Purple\React\purple-crm-react\src\components\lists\CompanyUsersList.tsx", "TypeScript JSX", 0, -9, 0, -1, -10
"d:\CRM Purple\React\purple-crm-react\src\components\lists\ProductTeamManagementList.tsx", "TypeScript JSX", 0, -25, 0, -4, -29
"d:\CRM Purple\React\purple-crm-react\src\components\lists\ProductsManagementsList.tsx", "TypeScript JSX", 0, 23, 0, 4, 27
"d:\CRM Purple\React\purple-crm-react\src\components\lists\TeamManagementList.tsx", "TypeScript JSX", 0, -8, 0, 0, -8
"d:\CRM Purple\React\purple-crm-react\src\components\modals\company-product-team\CompanyProductTeamsModal.tsx", "TypeScript JSX", 0, 526, 18, 52, 596
"d:\CRM Purple\React\purple-crm-react\src\components\modals\company-product-user\CompanyProductUsersModal.tsx", "TypeScript JSX", 0, 46, 1, 8, 55
"d:\CRM Purple\React\purple-crm-react\src\components\modals\products\EditProductModal.tsx", "TypeScript JSX", 0, -8, 0, -1, -9
"d:\CRM Purple\React\purple-crm-react\src\components\modals\teams\AddTeamModal.tsx", "TypeScript JSX", 0, 9, 0, 2, 11
"d:\CRM Purple\React\purple-crm-react\src\components\modals\teams\EditCompanyTeamModal.tsx", "TypeScript JSX", 0, -4, 0, 0, -4
"d:\CRM Purple\React\purple-crm-react\src\components\views\team-management\TeamManagement.tsx", "TypeScript JSX", 0, 2, 0, 1, 3
"d:\CRM Purple\React\purple-crm-react\src\constants\AppConstants.ts", "TypeScript", 2, 0, 0, 0, 2
"d:\CRM Purple\React\purple-crm-react\src\constants\PostApi.ts", "TypeScript", 9, 0, 0, 0, 9
"Total", "-", 199, 1207, 111, 131, 1648
