"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"d:\crm\purple-crm-react\src\assets\animations\EmailSentAnimation.tsx", "TypeScript JSX", 10, 0, 0, 7, 5, 22
"d:\crm\purple-crm-react\src\assets\animations\LoadingSpinner.tsx", "TypeScript JSX", 9, 0, 0, 0, 5, 14
"d:\crm\purple-crm-react\src\assets\animations\PaymentSuccessfull.tsx", "TypeScript JSX", 51, 0, 0, 0, 8, 59
"d:\crm\purple-crm-react\src\assets\styles\AuthLayout.css", "CSS", 0, 0, 17, 0, 1, 18
"d:\crm\purple-crm-react\src\assets\svg\AuthSideSvg.tsx", "TypeScript JSX", 308, 0, 0, 0, 3, 311
"d:\crm\purple-crm-react\src\assets\svg\Logo.tsx", "TypeScript JSX", 43, 0, 0, 0, 4, 47
"d:\crm\purple-crm-react\src\assets\svg\Logo2.tsx", "TypeScript JSX", 407, 0, 0, 0, 2, 409
"d:\crm\purple-crm-react\src\components\ag-grid\AddCompanyTeamUsersAgGrid.tsx", "TypeScript JSX", 87, 0, 0, 2, 11, 100
"d:\crm\purple-crm-react\src\components\ag-grid\CompanyProductTeamsAgGrid.tsx", "TypeScript JSX", 108, 0, 0, 2, 10, 120
"d:\crm\purple-crm-react\src\components\ag-grid\CompanyTeamUsersAgGrid.tsx", "TypeScript JSX", 541, 0, 0, 19, 78, 638
"d:\crm\purple-crm-react\src\components\ag-grid\CompanyUsersAgGrid.tsx", "TypeScript JSX", 230, 0, 0, 4, 19, 253
"d:\crm\purple-crm-react\src\components\ag-grid\LeadManagementsAgGrid.tsx", "TypeScript JSX", 238, 0, 0, 24, 16, 278
"d:\crm\purple-crm-react\src\components\ag-grid\Pagination.tsx", "TypeScript JSX", 93, 0, 0, 2, 7, 102
"d:\crm\purple-crm-react\src\components\ag-grid\ProductTaxManagementAgGrrid.tsx", "TypeScript JSX", 194, 0, 0, 3, 30, 227
"d:\crm\purple-crm-react\src\components\ag-grid\ProductsManagementAgGrid.tsx", "TypeScript JSX", 330, 0, 0, 4, 20, 354
"d:\crm\purple-crm-react\src\components\ag-grid\SubscriptionListAggrid.tsx", "TypeScript JSX", 231, 0, 0, 5, 19, 255
"d:\crm\purple-crm-react\src\components\ag-grid\TeamManagementAgGrid.tsx", "TypeScript JSX", 239, 0, 0, 4, 17, 260
"d:\crm\purple-crm-react\src\components\dialogue-box\Dialogue.tsx", "TypeScript JSX", 57, 0, 0, 0, 11, 68
"d:\crm\purple-crm-react\src\components\forms\CreatePasswordForm.tsx", "TypeScript JSX", 175, 0, 0, 3, 21, 199
"d:\crm\purple-crm-react\src\components\forms\ForgotPasswordForm.tsx", "TypeScript JSX", 107, 0, 0, 14, 23, 144
"d:\crm\purple-crm-react\src\components\forms\SignInForm.tsx", "TypeScript JSX", 304, 0, 0, 1, 35, 340
"d:\crm\purple-crm-react\src\components\forms\SignUpForm.tsx", "TypeScript JSX", 232, 0, 0, 0, 16, 248
"d:\crm\purple-crm-react\src\components\lists\CompanyUsersList.tsx", "TypeScript JSX", 335, 0, 0, 6, 31, 372
"d:\crm\purple-crm-react\src\components\lists\LeadManagementList.tsx", "TypeScript JSX", 69, 0, 0, 1, 14, 84
"d:\crm\purple-crm-react\src\components\lists\ProductsManagementsList.tsx", "TypeScript JSX", 359, 0, 0, 5, 40, 404
"d:\crm\purple-crm-react\src\components\lists\SubscriptionManagementList.tsx", "TypeScript JSX", 348, 0, 0, 29, 25, 402
"d:\crm\purple-crm-react\src\components\lists\TeamManagementList.tsx", "TypeScript JSX", 296, 0, 0, 7, 33, 336
"d:\crm\purple-crm-react\src\components\modals\company-product-team\CompanyProductTeamsModal.tsx", "TypeScript JSX", 348, 0, 0, 9, 41, 398
