Date : 2025-03-29 17:10:46
Directory : d:\crm\purple-crm-react\src
Total : 306 files,  2384 codes, 267 comments, 216 blanks, all 2867 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        161 |      2,269 |        197 |        191 |      2,657 |
| TypeScript     |        141 |        102 |         56 |         22 |        180 |
| CSS            |          4 |         13 |         14 |          3 |         30 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| ..\..\..\CRM Purple\React\purple-crm-react\src\@types\dialogue                                               |          1 |        -10 |          0 |         -1 |        -11 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\@types\error                                                  |          1 |        -11 |          0 |         -1 |        -12 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\@types\forms                                                  |          1 |         -9 |          0 |         -3 |        -12 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\@types\home                                                   |          4 |        -23 |          0 |         -4 |        -27 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\@types\home\loading-page                                      |          1 |         -4 |          0 |         -1 |         -5 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\@types\home\navbar                                            |          3 |        -19 |          0 |         -3 |        -22 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\@types\lead-management                                        |          1 |        -23 |          0 |         -2 |        -25 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\@types\modal                                                  |          7 |        -52 |          0 |        -11 |        -63 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\@types\products                                               |          2 |        -32 |        -14 |         -5 |        -51 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\@types\team-management                                        |          3 |        -27 |          0 |         -5 |        -32 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\@types\ui                                                     |          9 |       -113 |        -17 |        -17 |       -147 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\assets                                                        |          6 |       -794 |         -7 |        -20 |       -821 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\assets\animations                                             |          2 |        -19 |         -7 |        -10 |        -36 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\assets\styles                                                 |          1 |        -17 |          0 |         -1 |        -18 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\assets\svg                                                    |          3 |       -758 |          0 |         -9 |       -767 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components                                                    |         62 |     -9,045 |       -257 |     -1,022 |    -10,324 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\ag-grid                                            |          8 |     -1,692 |        -60 |       -195 |     -1,947 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\dialogue-box                                       |          1 |        -57 |          0 |        -11 |        -68 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\forms                                              |          4 |       -786 |        -17 |        -90 |       -893 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\lists                                              |          5 |     -1,049 |        -19 |       -118 |     -1,186 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\modals                                             |         10 |     -2,865 |        -47 |       -289 |     -3,201 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\modals\company-user                                |          3 |       -878 |        -12 |        -78 |       -968 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\modals\leads                                       |          1 |       -181 |        -11 |        -35 |       -227 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\modals\products                                    |          4 |     -1,208 |        -14 |       -111 |     -1,333 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\modals\teams                                       |          2 |       -598 |        -10 |        -65 |       -673 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\tabs                                               |          1 |       -168 |         -5 |        -14 |       -187 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\ui                                                 |         15 |       -628 |        -47 |        -90 |       -765 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views                                              |         18 |     -1,800 |        -62 |       -215 |     -2,077 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\auth                                         |          2 |       -161 |        -28 |        -27 |       -216 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\home                                         |          8 |       -764 |        -18 |        -75 |       -857 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\home\landing-page                            |          5 |       -227 |          0 |        -17 |       -244 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\home\navbar                                  |          3 |       -537 |        -18 |        -58 |       -613 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\lead-management                              |          1 |        -34 |          0 |        -13 |        -47 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\manage-company-users                         |          1 |       -166 |         -4 |        -16 |       -186 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\not-found                                    |          2 |        -88 |          0 |        -17 |       -105 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\product-Management                           |          1 |       -213 |         -4 |        -21 |       -238 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\product-team-management                      |          1 |       -181 |         -5 |        -19 |       -205 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\settings                                     |          1 |        -20 |          0 |         -7 |        -27 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\settings\lead-settings                       |          1 |        -20 |          0 |         -7 |        -27 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\components\views\team-management                              |          1 |       -173 |         -3 |        -20 |       -196 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\config                                                        |         14 |       -877 |        -22 |       -149 |     -1,048 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\config\hooks                                                  |          8 |       -626 |        -17 |       -124 |       -767 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\config\routes                                                 |          3 |       -203 |         -1 |        -15 |       -219 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\config\validations                                            |          3 |        -48 |         -4 |        -10 |        -62 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\constants                                                     |         14 |       -506 |          0 |        -43 |       -549 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\context                                                       |          2 |        -92 |         -2 |        -13 |       -107 |
| ..\..\..\CRM Purple\React\purple-crm-react\src\context\user                                                  |          2 |        -92 |         -2 |        -13 |       -107 |
| @types                                                                                                       |         49 |        500 |        125 |         93 |        718 |
| @types\List                                                                                                  |          1 |          8 |          0 |          0 |          8 |
| @types\ag-grid                                                                                               |          2 |         21 |          0 |          3 |         24 |
| @types\auth                                                                                                  |          4 |         24 |         16 |          6 |         46 |
| @types\auth\forms                                                                                            |          2 |         13 |         10 |          3 |         26 |
| @types\auth\views                                                                                            |          2 |         11 |          6 |          3 |         20 |
| @types\company-users                                                                                         |          7 |         95 |         24 |         14 |        133 |
| @types\config                                                                                                |          1 |          4 |          0 |          1 |          5 |
| @types\dialogue                                                                                              |          1 |         10 |          0 |          1 |         11 |
| @types\error                                                                                                 |          1 |         11 |          0 |          1 |         12 |
| @types\forms                                                                                                 |          1 |          9 |          0 |          3 |         12 |
| @types\home                                                                                                  |          4 |         23 |          0 |          4 |         27 |
| @types\home\loading-page                                                                                     |          1 |          4 |          0 |          1 |          5 |
| @types\home\navbar                                                                                           |          3 |         19 |          0 |          3 |         22 |
| @types\lead-management                                                                                       |          1 |         23 |          0 |          2 |         25 |
| @types\modal                                                                                                 |          7 |         52 |          0 |         11 |         63 |
| @types\product-teams-management                                                                              |          1 |         12 |          9 |         11 |         32 |
| @types\product-users-management                                                                              |          1 |         12 |         27 |          4 |         43 |
| @types\products                                                                                              |          2 |         32 |         14 |          5 |         51 |
| @types\subscription                                                                                          |          3 |         21 |         18 |          5 |         44 |
| @types\team-management                                                                                       |          3 |         27 |          0 |          5 |         32 |
| @types\ui                                                                                                    |          9 |        116 |         17 |         17 |        150 |
| assets                                                                                                       |          7 |        845 |          7 |         28 |        880 |
| assets\animations                                                                                            |          3 |         70 |          7 |         18 |         95 |
| assets\styles                                                                                                |          1 |         17 |          0 |          1 |         18 |
| assets\svg                                                                                                   |          3 |        758 |          0 |          9 |        767 |
| components                                                                                                   |         70 |     11,211 |        454 |      1,206 |     12,871 |
| components\ag-grid                                                                                           |         10 |      2,291 |         69 |        227 |      2,587 |
| components\dialogue-box                                                                                      |          1 |         57 |          0 |         11 |         68 |
| components\forms                                                                                             |          4 |        818 |         18 |         95 |        931 |
| components\lists                                                                                             |          5 |      1,407 |         48 |        143 |      1,598 |
| components\modals                                                                                            |         12 |      3,256 |         57 |        338 |      3,651 |
| components\modals\company-product-team                                                                       |          1 |        348 |          9 |         41 |        398 |
| components\modals\company-product-user                                                                       |          1 |         50 |          1 |          9 |         60 |
| components\modals\company-user                                                                               |          3 |        878 |         12 |         78 |        968 |
| components\modals\leads                                                                                      |          1 |        181 |         11 |         35 |        227 |
| components\modals\products                                                                                   |          4 |      1,200 |         14 |        110 |      1,324 |
| components\modals\teams                                                                                      |          2 |        599 |         10 |         65 |        674 |
| components\subscription-module                                                                               |          4 |        725 |        140 |         75 |        940 |
| components\tabs                                                                                              |          1 |        168 |          5 |         14 |        187 |
| components\ui                                                                                                |         15 |        634 |         47 |         90 |        771 |
| components\views                                                                                             |         18 |      1,855 |         70 |        213 |      2,138 |
| components\views\auth                                                                                        |          2 |        161 |         28 |         27 |        216 |
| components\views\home                                                                                        |          8 |        820 |         25 |         73 |        918 |
| components\views\home\landing-page                                                                           |          5 |        227 |          0 |         17 |        244 |
| components\views\home\navbar                                                                                 |          3 |        593 |         25 |         56 |        674 |
| components\views\lead-management                                                                             |          1 |         34 |          0 |         13 |         47 |
| components\views\manage-company-users                                                                        |          1 |        165 |          5 |         16 |        186 |
| components\views\not-found                                                                                   |          2 |         88 |          0 |         17 |        105 |
| components\views\product-Management                                                                          |          1 |        213 |          4 |         21 |        238 |
| components\views\product-team-management                                                                     |          1 |        181 |          5 |         19 |        205 |
| components\views\settings                                                                                    |          1 |         20 |          0 |          7 |         27 |
| components\views\settings\lead-settings                                                                      |          1 |         20 |          0 |          7 |         27 |
| components\views\team-management                                                                             |          1 |        173 |          3 |         20 |        196 |
| config                                                                                                       |         14 |        933 |         22 |        150 |      1,105 |
| config\hooks                                                                                                 |          8 |        653 |         17 |        125 |        795 |
| config\routes                                                                                                |          3 |        232 |          1 |         15 |        248 |
| config\validations                                                                                           |          3 |         48 |          4 |         10 |         62 |
| constants                                                                                                    |         14 |        530 |          1 |         44 |        575 |
| context                                                                                                      |          2 |        115 |          2 |         12 |        129 |
| context\user                                                                                                 |          2 |        115 |          2 |         12 |        129 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                     | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\CRM Purple\React\purple-crm-react\src\@types\List\PaginationProps.ts                                      | TypeScript     |         -8 |          0 |          0 |         -8 |
| d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\PaginationDataProps.ts                               | TypeScript     |         -8 |          0 |         -1 |         -9 |
| d:\CRM Purple\React\purple-crm-react\src\@types\ag-grid\SearchDropDownOptions.ts                             | TypeScript     |        -13 |          0 |         -2 |        -15 |
